City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Dubbo,AU,77.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
663,Namatanai,PG,86.2,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
664,Nelson Bay,AU,79.09,few clouds,-32.7167,152.15,Mantra Nelson Bay
668,Dori,BF,82.58,overcast clouds,14.0354,-0.0345,Hôtel Liptako
669,Kampong Cham,KH,86.99,overcast clouds,11.9934,105.4635,7 Makara Hotel
670,Charters Towers,AU,83.21,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
672,Chimichagua,CO,75.7,overcast clouds,9.2578,-73.8123,Hospital Imaculada
684,Tecoanapa,MX,79.63,few clouds,16.5167,-98.75,Hotel Manglares
685,Anito,PH,83.19,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
687,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
689,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
691,Hays,US,78.94,few clouds,30.0502,-98.0336,Sinya on Lone Man Creek
694,Labuhan,ID,85.14,broken clouds,-6.8844,112.2051,DoubleFAG
